id,root,root_pc,quality,is_seventh,symbol,pitch_names,pitch_classes,pcs_tuple
0,C,0,maj,False,C,"['C', 'E', 'G']","[0, 4, 7]","(0, 4, 7)"
1,C,0,min,False,Cm,"['C', 'Eb', 'G']","[0, 3, 7]","(0, 3, 7)"
2,C,0,sus2,False,Csus2,"['C', 'D', 'G']","[0, 2, 7]","(0, 2, 7)"
3,C,0,sus4,False,Csus4,"['C', 'F', 'G']","[0, 5, 7]","(0, 5, 7)"
4,C,0,aug,False,Caug,"['C', 'E', 'G#']","[0, 4, 8]","(0, 4, 8)"
5,C,0,dim,False,Cdim,"['C', 'Eb', 'Gb']","[0, 3, 6]","(0, 3, 6)"
6,C,0,maj7,True,Cmaj7,"['C', 'E', 'G', 'B']","[0, 4, 7, 11]","(0, 4, 7, 11)"
7,C,0,7,True,C7,"['C', 'E', 'G', 'Bb']","[0, 4, 7, 10]","(0, 4, 7, 10)"
8,C,0,min7,True,Cm7,"['C', 'Eb', 'G', 'Bb']","[0, 3, 7, 10]","(0, 3, 7, 10)"
9,C,0,halfdim7,True,Cm7b5,"['C', 'Eb', 'Gb', 'Bb']","[0, 3, 6, 10]","(0, 3, 6, 10)"
10,C,0,dim7,True,Cdim7,"['C', 'Eb', 'Gb', 'Bbb']","[0, 3, 6, 9]","(0, 3, 6, 9)"
11,C,0,it6,False,CIt6,"['Ab', 'C', 'F#']","[8, 0, 6]","(0, 6, 8)"
12,B#,0,maj,False,B#,"['B#', 'D##', 'F##']","[0, 4, 7]","(0, 4, 7)"
13,B#,0,min,False,B#m,"['B#', 'D#', 'F##']","[0, 3, 7]","(0, 3, 7)"
14,B#,0,sus2,False,B#sus2,"['B#', 'C##', 'F##']","[0, 2, 7]","(0, 2, 7)"
15,B#,0,sus4,False,B#sus4,"['B#', 'E#', 'F##']","[0, 5, 7]","(0, 5, 7)"
16,B#,0,aug,False,B#aug,"['B#', 'D##', 'F###']","[0, 4, 8]","(0, 4, 8)"
17,B#,0,dim,False,B#dim,"['B#', 'D#', 'F#']","[0, 3, 6]","(0, 3, 6)"
18,B#,0,maj7,True,B#maj7,"['B#', 'D##', 'F##', 'A##']","[0, 4, 7, 11]","(0, 4, 7, 11)"
19,B#,0,7,True,B#7,"['B#', 'D##', 'F##', 'A#']","[0, 4, 7, 10]","(0, 4, 7, 10)"
20,B#,0,min7,True,B#m7,"['B#', 'D#', 'F##', 'A#']","[0, 3, 7, 10]","(0, 3, 7, 10)"
21,B#,0,halfdim7,True,B#m7b5,"['B#', 'D#', 'F#', 'A#']","[0, 3, 6, 10]","(0, 3, 6, 10)"
22,B#,0,dim7,True,B#dim7,"['B#', 'D#', 'F#', 'A']","[0, 3, 6, 9]","(0, 3, 6, 9)"
23,B#,0,it6,False,B#It6,"['G#', 'B#', 'E##']","[8, 0, 6]","(0, 6, 8)"
24,C#,1,maj,False,C#,"['C#', 'E#', 'G#']","[1, 5, 8]","(1, 5, 8)"
25,C#,1,min,False,C#m,"['C#', 'E', 'G#']","[1, 4, 8]","(1, 4, 8)"
26,C#,1,sus2,False,C#sus2,"['C#', 'D#', 'G#']","[1, 3, 8]","(1, 3, 8)"
27,C#,1,sus4,False,C#sus4,"['C#', 'F#', 'G#']","[1, 6, 8]","(1, 6, 8)"
28,C#,1,aug,False,C#aug,"['C#', 'E#', 'G##']","[1, 5, 9]","(1, 5, 9)"
29,C#,1,dim,False,C#dim,"['C#', 'E', 'G']","[1, 4, 7]","(1, 4, 7)"
30,C#,1,maj7,True,C#maj7,"['C#', 'E#', 'G#', 'B#']","[1, 5, 8, 0]","(0, 1, 5, 8)"
31,C#,1,7,True,C#7,"['C#', 'E#', 'G#', 'B']","[1, 5, 8, 11]","(1, 5, 8, 11)"
32,C#,1,min7,True,C#m7,"['C#', 'E', 'G#', 'B']","[1, 4, 8, 11]","(1, 4, 8, 11)"
33,C#,1,halfdim7,True,C#m7b5,"['C#', 'E', 'G', 'B']","[1, 4, 7, 11]","(1, 4, 7, 11)"
34,C#,1,dim7,True,C#dim7,"['C#', 'E', 'G', 'Bb']","[1, 4, 7, 10]","(1, 4, 7, 10)"
35,C#,1,it6,False,C#It6,"['A', 'C#', 'F##']","[9, 1, 7]","(1, 7, 9)"
36,Db,1,maj,False,Db,"['Db', 'F', 'Ab']","[1, 5, 8]","(1, 5, 8)"
37,Db,1,min,False,Dbm,"['Db', 'Fb', 'Ab']","[1, 4, 8]","(1, 4, 8)"
